ROADWAY_NAME,LATITUDE_IB_CW,LATITUDE_OB_CCW,LONGITUDE_IB_CW,LONGITUDE_OB_CCW,COUNTY_NAME,TOTAL_MINUTES,ENTER_DATE,ENTER_TIME,CLEAR_DATE,CLEAR_TIME,elev_meters,Rainfall,geometry_OB,geometry_IB,distance,Rainfall_Site,geometry,rain_inc_dist,Rainfall_Site_m
BELTWAY 8-EAST,29.8085,29.8089,-95.1639,-95.1628,Harris,0,8/26/2017,3:56,8/26/2017,3:56,10.1,235.57,POINT (-95.1639 29.8085),POINT (-95.1628 29.8089),0.00117046999106711,1.1719900497512437,POINT (-95.1639 29.8085),0.27177464929606465,0.02975124378109453
BELTWAY 8-EAST,29.6656,29.6656,-95.1558,-95.1556,Harris,357,8/26/2017,8:06,8/26/2017,14:03,8.88,235.57,POINT (-95.1558 29.6656),POINT (-95.15560000000001 29.6656),0.00019999999999242846,1.1719900497512437,POINT (-95.1558 29.6656),0.6287328526488781,0.02975124378109453
BELTWAY 8-EAST,29.883000000000006,29.883000000000006,-95.1984,-95.1984,Harris,4745,8/27/2017,1:50,8/30/2017,8:55,14.32,235.57,POINT (-95.19840000000001 29.88300000000001),POINT (-95.19840000000001 29.88300000000001),0.0,1.1719900497512437,POINT (-95.19840000000001 29.88300000000001),0.4317355208921309,0.02975124378109453
BELTWAY 8-EAST,29.883000000000006,29.883000000000006,-95.1984,-95.1984,Harris,4351,8/27/2017,8:49,8/30/2017,9:20,14.32,235.57,POINT (-95.19840000000001 29.88300000000001),POINT (-95.19840000000001 29.88300000000001),0.0,1.1719900497512437,POINT (-95.19840000000001 29.88300000000001),0.46805080920771874,0.02975124378109453
BELTWAY 8-EAST,29.6498,29.6498,-95.1562,-95.1561,Harris,4138,8/27/2017,11:55,8/30/2017,8:53,9.61,235.57,POINT (-95.1562 29.6498),POINT (-95.1561 29.6498),0.00010000000000331966,1.1719900497512437,POINT (-95.1562 29.6498),0.48820711236523695,0.02975124378109453
BELTWAY 8-EAST,29.8085,29.8089,-95.1639,-95.1628,Harris,5563,8/27/2017,20:44,8/31/2017,17:27,10.1,235.57,POINT (-95.1639 29.8085),POINT (-95.1628 29.8089),0.00117046999106711,1.1719900497512437,POINT (-95.1639 29.8085),0.4564750376526692,0.02975124378109453
BELTWAY 8-NORTH,29.9396,29.9403,-95.3034,-95.3034,Harris,419,8/26/2017,8:44,8/26/2017,15:43,21.48,235.57,POINT (-95.3034 29.9396),POINT (-95.3034 29.9403),0.0007000000000019213,1.1719900497512437,POINT (-95.3034 29.9396),0.5419417404112712,0.02975124378109453
BELTWAY 8-NORTH,29.9392,29.9393,-95.3313,-95.3313,Harris,63,8/26/2017,8:46,8/26/2017,9:49,16.86,235.57,POINT (-95.3313 29.9392),POINT (-95.3313 29.9393),9.999999999976694e-05,1.1719900497512437,POINT (-95.3313 29.9392),0.689919074964595,0.02975124378109453
BELTWAY 8-NORTH,29.9392,29.9393,-95.3313,-95.3313,Harris,61,8/26/2017,8:47,8/26/2017,9:48,16.86,235.57,POINT (-95.3313 29.9392),POINT (-95.3313 29.9393),9.999999999976694e-05,1.1719900497512437,POINT (-95.3313 29.9392),0.684069954390632,0.02975124378109453
BELTWAY 8-NORTH,29.9397,29.9402,-95.296,-95.2957,Harris,4918,8/27/2017,0:19,8/30/2017,10:17,18.34,235.57,POINT (-95.29600000000001 29.9397),POINT (-95.2957 29.9402),0.000583095189491701,1.1719900497512437,POINT (-95.29600000000001 29.9397),0.7997225081239095,0.02975124378109453
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,4076,8/27/2017,0:23,8/29/2017,20:19,18.62,235.57,POINT (-95.38120000000001 29.9387),POINT (-95.3813 29.9389),0.00022360679774469138,1.1719900497512437,POINT (-95.38120000000001 29.9387),0.8324380637621036,0.02975124378109453
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,5330,8/27/2017,0:27,8/30/2017,17:17,18.62,235.57,POINT (-95.38120000000001 29.9387),POINT (-95.3813 29.9389),0.00022360679774469138,1.1719900497512437,POINT (-95.38120000000001 29.9387),0.32283430073801916,0.02975124378109453
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,3602,8/27/2017,3:08,8/29/2017,15:10,18.62,235.57,POINT (-95.38120000000001 29.9387),POINT (-95.3813 29.9389),0.00022360679774469138,1.1719900497512437,POINT (-95.38120000000001 29.9387),0.4051275654037933,0.02975124378109453
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,3457,8/27/2017,5:31,8/29/2017,15:08,18.62,235.57,POINT (-95.38120000000001 29.9387),POINT (-95.3813 29.9389),0.00022360679774469138,1.1719900497512437,POINT (-95.38120000000001 29.9387),0.48642394586000093,0.02975124378109453
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,4485,8/27/2017,5:33,8/30/2017,8:18,18.62,235.57,POINT (-95.38120000000001 29.9387),POINT (-95.3813 29.9389),0.00022360679774469138,1.1719900497512437,POINT (-95.38120000000001 29.9387),0.31476309425342863,0.02975124378109453
BELTWAY 8-NORTH,29.9391,29.9394,-95.3972,-95.3971,Harris,3313,8/27/2017,5:49,8/29/2017,13:02,25.75,235.57,POINT (-95.3972 29.9391),POINT (-95.39709999999999 29.9394),0.0003162277660172244,1.1719900497512437,POINT (-95.3972 29.9391),0.7873548450349427,0.02975124378109453
BELTWAY 8-NORTH,29.9405,29.9407,-95.4138,-95.4138,Harris,4650,8/27/2017,5:49,8/30/2017,11:19,23.53,235.57,POINT (-95.41379999999999 29.9405),POINT (-95.41379999999999 29.9407),0.00019999999999953388,1.1719900497512437,POINT (-95.41379999999999 29.9405),0.4475496508768563,0.02975124378109453
BELTWAY 8-NORTH,29.9391,29.9394,-95.3972,-95.3971,Harris,3312,8/27/2017,5:50,8/29/2017,13:02,25.75,235.57,POINT (-95.3972 29.9391),POINT (-95.39709999999999 29.9394),0.0003162277660172244,1.1719900497512437,POINT (-95.3972 29.9391),0.4713179924424696,0.02975124378109453
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,3277,8/27/2017,8:31,8/29/2017,15:08,18.62,235.57,POINT (-95.38120000000001 29.9387),POINT (-95.3813 29.9389),0.00022360679774469138,1.1719900497512437,POINT (-95.38120000000001 29.9387),0.38171712163066973,0.02975124378109453
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,3239,8/27/2017,9:10,8/29/2017,15:09,18.62,235.57,POINT (-95.38120000000001 29.9387),POINT (-95.3813 29.9389),0.00022360679774469138,1.1719900497512437,POINT (-95.38120000000001 29.9387),0.32424310260203365,0.02975124378109453
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,2629,8/27/2017,19:20,8/29/2017,15:09,18.62,235.57,POINT (-95.38120000000001 29.9387),POINT (-95.3813 29.9389),0.00022360679774469138,1.1719900497512437,POINT (-95.38120000000001 29.9387),0.3934473400011629,0.02975124378109453
BELTWAY 8-NORTH,29.9387,29.9389,-95.3812,-95.3813,Harris,2944,8/27/2017,19:21,8/29/2017,20:25,18.62,235.57,POINT (-95.38120000000001 29.9387),POINT (-95.3813 29.9389),0.00022360679774469138,1.1719900497512437,POINT (-95.38120000000001 29.9387),0.2962062829994177,0.02975124378109453
